HomeWin,HomeNumWins,VisitorNumWins,HomeWins2019,VisitorWins2019,HomeLosses2019,VisitorLosses2019,TotalHomeWins2019,TotalVisitorWins2019,Net Home Season Score,Net Away Season Score
0,6,5,23,20,18,21,42,39,-26,116
0,3,2,25,29,16,12,36,33,-6,-156
0,3,6,9,21,32,20,17,49,-147,110
0,9,6,22,9,19,32,37,33,177,138
1,5,2,26,16,15,25,41,48,-44,-56
0,4,1,19,22,22,19,33,49,-84,-19
1,6,2,25,27,16,14,42,57,-22,-182
1,8,4,32,21,9,20,58,50,153,50
1,11,3,26,31,15,10,48,32,125,-44
0,4,3,25,7,16,34,39,19,-180,32
1,9,4,31,21,10,20,51,50,93,30
1,2,2,17,27,24,14,29,57,-227,-186
0,3,3,21,19,20,22,33,48,-148,95
1,8,1,33,8,8,33,60,17,216,-156
0,5,3,24,13,17,28,39,22,-60,-85
0,3,1,13,15,28,26,19,41,-140,-10
0,3,1,22,17,19,24,32,42,-69,-18
0,4,7,19,9,22,32,33,33,-87,152
0,9,6,32,20,9,21,58,39,173,119
1,5,5,32,22,9,19,48,53,-90,110
0,8,8,34,15,7,26,54,37,84,163
1,12,5,26,21,15,20,48,53,150,-21
1,4,2,25,27,16,14,39,57,-185,-211
0,6,9,26,27,15,14,41,60,23,260
1,7,4,25,7,16,34,42,19,-11,37
0,3,4,17,19,24,22,29,42,-202,-29
1,7,7,28,20,13,21,49,39,119,130
1,3,3,9,29,32,12,22,33,-78,-161
0,6,4,27,19,14,22,49,48,-16,108
1,6,7,24,30,17,11,33,36,173,-14
0,8,9,29,15,12,26,50,37,21,172
1,3,3,32,15,9,26,53,39,-41,-67
1,3,5,22,20,19,21,32,51,-76,102
0,3,5,9,20,32,21,17,54,-200,75
0,9,5,32,22,9,19,58,53,162,108
0,4,4,19,7,22,34,33,19,-108,23
0,5,5,25,19,16,22,39,42,-170,-17
0,3,2,13,17,28,24,19,42,-173,3
1,6,5,26,19,15,22,41,48,-1,115
1,8,6,28,20,13,21,49,54,138,112
0,4,2,9,27,32,14,22,57,-71,-226
1,8,3,19,31,22,10,39,32,111,-70
1,6,7,27,30,14,11,49,36,-23,-21
1,9,3,33,22,8,19,60,48,284,170
1,6,3,32,15,9,26,48,39,-88,-78
0,4,10,32,15,9,26,53,37,-30,197
1,7,2,24,14,17,27,33,33,180,-115
0,3,5,9,19,32,22,17,48,-237,108
